,Cert_ID,Class_Type,Effective_Date,Change_Type
0,34619,Commercial,2000-01-01,NewInstitutions
1,35417,Commercial,2000-01-01,NewInstitutions
2,35347,Commercial,2000-01-03,NewInstitutions
3,35355,Commercial,2000-01-10,NewInstitutions
4,35033,Commercial,2000-01-10,NewInstitutions
5,35295,Commercial,2000-01-10,NewInstitutions
6,35394,Savings,2000-01-12,NewInstitutions
7,35296,Commercial,2000-01-14,NewInstitutions
8,35516,Commercial,2000-01-15,NewInstitutions
9,35300,Commercial,2000-01-18,NewInstitutions
10,35324,Commercial,2000-01-18,NewInstitutions
11,34951,Commercial,2000-01-18,NewInstitutions
12,35090,Commercial,2000-01-19,NewInstitutions
13,35348,Commercial,2000-01-20,NewInstitutions
14,35283,Commercial,2000-01-24,NewInstitutions
15,35302,Commercial,2000-01-24,NewInstitutions
16,35379,Commercial,2000-01-24,NewInstitutions
17,35314,Commercial,2000-01-28,NewInstitutions
18,34658,Commercial,2000-01-31,NewInstitutions
19,35306,Commercial,2000-01-31,NewInstitutions
20,35439,Commercial,2000-01-31,NewInstitutions
21,34998,Commercial,2000-01-31,NewInstitutions
22,35405,Savings,2000-02-01,NewInstitutions
23,35282,Savings,2000-02-04,NewInstitutions
24,35244,Commercial,2000-02-04,NewInstitutions
25,35223,Commercial,2000-02-07,NewInstitutions
26,35235,Commercial,2000-02-07,NewInstitutions
27,35303,Commercial,2000-02-07,NewInstitutions
28,35416,Commercial,2000-02-07,NewInstitutions
29,35363,Savings,2000-02-07,NewInstitutions
30,35297,Savings,2000-02-09,NewInstitutions
31,35419,Commercial,2000-02-14,NewInstitutions
32,35364,Commercial,2000-02-14,NewInstitutions
33,35406,Commercial,2000-02-15,NewInstitutions
34,35453,Commercial,2000-02-15,NewInstitutions
35,35370,Commercial,2000-02-16,NewInstitutions
36,35259,Commercial,2000-02-18,NewInstitutions
37,35337,Commercial,2000-02-18,NewInstitutions
38,35380,Commercial,2000-02-22,NewInstitutions
39,35327,Commercial,2000-02-28,NewInstitutions
40,35426,Commercial,2000-02-28,NewInstitutions
41,35441,Commercial,2000-03-01,NewInstitutions
42,35377,Commercial,2000-03-01,NewInstitutions
43,35395,Commercial,2000-03-08,NewInstitutions
44,35412,Commercial,2000-03-13,NewInstitutions
45,35345,Commercial,2000-03-13,NewInstitutions
46,35477,Commercial,2000-03-14,NewInstitutions
47,35414,Commercial,2000-03-14,NewInstitutions
48,35117,Commercial,2000-03-15,NewInstitutions
49,35304,Commercial,2000-03-15,NewInstitutions
50,35418,Commercial,2000-03-15,NewInstitutions
51,35284,Commercial,2000-03-15,NewInstitutions
52,35312,Commercial,2000-03-20,NewInstitutions
53,35346,Commercial,2000-03-20,NewInstitutions
54,35432,Commercial,2000-03-20,NewInstitutions
55,34705,Commercial,2000-03-22,NewInstitutions
56,35420,Commercial,2000-03-22,NewInstitutions
57,35383,Commercial,2000-03-27,NewInstitutions
58,35407,Commercial,2000-03-27,NewInstitutions
59,35421,Commercial,2000-03-27,NewInstitutions
60,35374,Commercial,2000-03-29,NewInstitutions
61,35455,Commercial,2000-04-03,NewInstitutions
62,34820,Commercial,2000-04-03,NewInstitutions
63,35162,Savings,2000-04-03,NewInstitutions
64,35428,Commercial,2000-04-06,NewInstitutions
65,35356,Savings,2000-04-06,NewInstitutions
66,35397,Commercial,2000-04-07,NewInstitutions
67,35365,Commercial,2000-04-10,NewInstitutions
68,35218,Commercial,2000-04-10,NewInstitutions
69,35313,Commercial,2000-04-14,NewInstitutions
70,35224,Commercial,2000-04-14,NewInstitutions
71,35242,Commercial,2000-04-17,NewInstitutions
72,35299,Commercial,2000-04-17,NewInstitutions
73,35471,Commercial,2000-04-17,NewInstitutions
74,35261,Commercial,2000-04-17,NewInstitutions
75,35408,Commercial,2000-04-20,NewInstitutions
76,35285,Commercial,2000-04-20,NewInstitutions
77,35399,Commercial,2000-04-24,NewInstitutions
78,35446,Commercial,2000-04-25,NewInstitutions
79,35287,Commercial,2000-04-26,NewInstitutions
80,35484,Commercial,2000-05-01,NewInstitutions
81,35495,Commercial,2000-05-01,NewInstitutions
82,35602,Savings,2000-05-01,NewInstitutions
83,35051,Commercial,2000-05-01,NewInstitutions
84,35422,Commercial,2000-05-03,NewInstitutions
85,35338,Commercial,2000-05-08,NewInstitutions
86,35396,Commercial,2000-05-08,NewInstitutions
87,35458,Commercial,2000-05-08,NewInstitutions
88,35309,Commercial,2000-05-10,NewInstitutions
89,35462,Commercial,2000-05-12,NewInstitutions
90,35267,Savings,2000-05-15,NewInstitutions
91,35206,Savings,2000-05-15,NewInstitutions
92,35376,Commercial,2000-05-15,NewInstitutions
93,35390,Commercial,2000-05-15,NewInstitutions
94,35156,Commercial,2000-05-15,NewInstitutions
95,35265,Savings,2000-05-15,NewInstitutions
96,35461,Commercial,2000-05-18,NewInstitutions
97,35463,Commercial,2000-05-22,NewInstitutions
98,35449,Savings,2000-05-22,NewInstitutions
99,35480,Commercial,2000-05-22,NewInstitutions
100,35487,Commercial,2000-05-22,NewInstitutions
101,35163,Commercial,2000-05-22,NewInstitutions
102,35515,Commercial,2000-05-22,NewInstitutions
103,35465,Commercial,2000-05-24,NewInstitutions
104,35427,Commercial,2000-05-26,NewInstitutions
105,35519,Commercial,2000-06-01,NewInstitutions
106,35362,Savings,2000-06-01,NewInstitutions
107,35251,Commercial,2000-06-02,NewInstitutions
108,35524,Commercial,2000-06-05,NewInstitutions
109,35154,Savings,2000-06-05,NewInstitutions
110,35488,Savings,2000-06-07,NewInstitutions
111,35445,Commercial,2000-06-08,NewInstitutions
112,34976,Savings,2000-06-12,NewInstitutions
113,35491,Savings,2000-06-16,NewInstitutions
114,35577,Commercial,2000-06-16,NewInstitutions
115,35493,Savings,2000-06-26,NewInstitutions
116,35389,Commercial,2000-06-26,NewInstitutions
117,35525,Commercial,2000-06-26,NewInstitutions
118,35386,Commercial,2000-06-26,NewInstitutions
119,35475,Commercial,2000-06-29,NewInstitutions
120,35236,Commercial,2000-06-29,NewInstitutions
121,35562,Commercial,2000-06-29,NewInstitutions
122,35456,Commercial,2000-06-29,NewInstitutions
123,35545,Commercial,2000-06-30,NewInstitutions
124,35164,Savings,2000-07-01,NewInstitutions
125,35208,Commercial,2000-07-01,NewInstitutions
126,35442,Commercial,2000-07-01,NewInstitutions
127,35518,Savings,2000-07-03,NewInstitutions
128,35546,Savings,2000-07-04,NewInstitutions
129,35568,Commercial,2000-07-05,NewInstitutions
130,35450,Commercial,2000-07-05,NewInstitutions
131,35485,Commercial,2000-07-05,NewInstitutions
132,35350,Commercial,2000-07-06,NewInstitutions
133,35523,Savings,2000-07-06,NewInstitutions
134,35500,Commercial,2000-07-10,NewInstitutions
135,35573,Commercial,2000-07-11,NewInstitutions
136,35466,Commercial,2000-07-12,NewInstitutions
137,57076,Commercial,2000-07-14,NewInstitutions
138,35381,Commercial,2000-07-17,NewInstitutions
139,35511,Commercial,2000-07-17,NewInstitutions
140,35478,Commercial,2000-07-24,NewInstitutions
141,35274,Commercial,2000-07-24,NewInstitutions
142,35323,Commercial,2000-07-25,NewInstitutions
143,35444,Commercial,2000-07-28,NewInstitutions
144,35591,Commercial,2000-08-03,NewInstitutions
145,35489,Savings,2000-08-04,NewInstitutions
146,35292,Commercial,2000-08-07,NewInstitutions
147,35333,Commercial,2000-08-14,NewInstitutions
148,35187,Commercial,2000-08-21,NewInstitutions
149,35514,Commercial,2000-08-23,NewInstitutions
150,57024,Commercial,2000-08-25,NewInstitutions
151,35543,Commercial,2000-08-28,NewInstitutions
152,35576,Commercial,2000-08-28,NewInstitutions
153,35451,Commercial,2000-09-01,NewInstitutions
154,35366,Commercial,2000-09-01,NewInstitutions
155,35411,Savings,2000-09-01,NewInstitutions
156,35558,Commercial,2000-09-11,NewInstitutions
157,35257,Savings,2000-09-12,NewInstitutions
158,57058,Commercial,2000-09-13,NewInstitutions
159,35566,Commercial,2000-09-19,NewInstitutions
160,57072,Commercial,2000-09-21,NewInstitutions
161,35578,Commercial,2000-09-21,NewInstitutions
162,57037,Commercial,2000-09-29,NewInstitutions
163,35474,Commercial,2000-09-29,NewInstitutions
164,35595,Commercial,2000-10-02,NewInstitutions
165,35513,Commercial,2000-10-02,NewInstitutions
166,35588,Commercial,2000-10-02,NewInstitutions
167,35492,Commercial,2000-10-02,NewInstitutions
168,35385,Commercial,2000-10-03,NewInstitutions
169,35533,Commercial,2000-10-05,NewInstitutions
170,35280,Commercial,2000-10-10,NewInstitutions
171,35547,Commercial,2000-10-10,NewInstitutions
172,35431,Commercial,2000-10-11,NewInstitutions
173,35344,Savings,2000-10-11,NewInstitutions
174,57069,Commercial,2000-10-12,NewInstitutions
175,57022,Commercial,2000-10-16,NewInstitutions
176,57061,Commercial,2000-10-16,NewInstitutions
177,35597,Commercial,2000-10-16,NewInstitutions
178,35570,Commercial,2000-10-16,NewInstitutions
179,35342,Commercial,2000-10-19,NewInstitutions
180,35575,Commercial,2000-10-20,NewInstitutions
181,57027,Commercial,2000-10-23,NewInstitutions
182,35550,Commercial,2000-10-23,NewInstitutions
183,57035,Commercial,2000-10-23,NewInstitutions
184,57039,Commercial,2000-10-25,NewInstitutions
185,35583,Commercial,2000-10-27,NewInstitutions
186,57075,Commercial,2000-10-30,NewInstitutions
187,35476,Commercial,2000-10-30,NewInstitutions
188,57033,Commercial,2000-10-31,NewInstitutions
189,57038,Commercial,2000-10-31,NewInstitutions
190,35559,Commercial,2000-11-01,NewInstitutions
191,35430,Commercial,2000-11-01,NewInstitutions
192,35469,Commercial,2000-11-01,NewInstitutions
193,35541,Commercial,2000-11-01,NewInstitutions
194,57042,Commercial,2000-11-06,NewInstitutions
195,57057,Commercial,2000-11-06,NewInstitutions
196,57078,Commercial,2000-11-13,NewInstitutions
197,35409,Commercial,2000-11-14,NewInstitutions
198,35433,Commercial,2000-11-15,NewInstitutions
199,35464,Commercial,2000-11-15,NewInstitutions
200,57021,Commercial,2000-11-17,NewInstitutions
201,35517,Commercial,2000-11-17,NewInstitutions
202,57060,Commercial,2000-11-17,NewInstitutions
203,35548,Commercial,2000-11-20,NewInstitutions
204,35521,Commercial,2000-11-20,NewInstitutions
205,35512,Savings,2000-11-20,NewInstitutions
206,35535,Commercial,2000-11-20,NewInstitutions
207,57082,Commercial,2000-11-22,NewInstitutions
208,35393,Savings,2000-11-24,NewInstitutions
209,57034,Commercial,2000-11-27,NewInstitutions
210,35530,Commercial,2000-11-29,NewInstitutions
211,57092,Commercial,2000-11-30,NewInstitutions
212,35328,Savings,2000-12-01,NewInstitutions
213,57025,Commercial,2000-12-05,NewInstitutions
214,57026,Commercial,2000-12-08,NewInstitutions
215,35604,Commercial,2000-12-11,NewInstitutions
216,57068,Savings,2000-12-12,NewInstitutions
217,35527,Savings,2000-12-15,NewInstitutions
218,57099,Commercial,2000-12-15,NewInstitutions
219,35237,Savings,2000-12-24,NewInstitutions
220,57118,Commercial,2000-12-27,NewInstitutions
221,57116,Commercial,2000-12-27,NewInstitutions
222,35086,Savings,2000-12-29,NewInstitutions
223,35600,Commercial,2001-01-01,NewInstitutions
224,35510,Savings,2001-01-01,NewInstitutions
225,57115,Commercial,2001-01-02,NewInstitutions
226,35388,Savings,2001-01-02,NewInstitutions
227,35536,Commercial,2001-01-02,NewInstitutions
228,57070,Commercial,2001-01-08,NewInstitutions
229,35561,Commercial,2001-01-08,NewInstitutions
230,57067,Commercial,2001-01-11,NewInstitutions
231,35400,Commercial,2001-01-12,NewInstitutions
232,57106,Commercial,2001-01-18,NewInstitutions
233,57103,Commercial,2001-01-22,NewInstitutions
234,57126,Commercial,2001-01-22,NewInstitutions
235,35457,Commercial,2001-01-26,NewInstitutions
236,57097,Commercial,2001-02-01,NewInstitutions
237,35585,Commercial,2001-02-01,NewInstitutions
238,57085,Commercial,2001-02-05,NewInstitutions
239,57077,Savings,2001-02-05,NewInstitutions
240,57117,Commercial,2001-02-13,NewInstitutions
241,35027,Savings,2001-02-20,NewInstitutions
242,35564,Commercial,2001-02-20,NewInstitutions
243,35291,Commercial,2001-02-23,NewInstitutions
244,57111,Commercial,2001-02-23,NewInstitutions
245,57041,Commercial,2001-02-23,NewInstitutions
246,57073,Commercial,2001-03-01,NewInstitutions
247,57023,Savings,2001-03-01,NewInstitutions
248,57112,Commercial,2001-03-01,NewInstitutions
249,57056,Commercial,2001-03-01,NewInstitutions
250,57138,Commercial,2001-03-02,NewInstitutions
251,57091,Commercial,2001-03-05,NewInstitutions
252,35367,Commercial,2001-03-05,NewInstitutions
253,57087,Commercial,2001-03-07,NewInstitutions
254,57108,Commercial,2001-03-15,NewInstitutions
255,35586,Commercial,2001-03-16,NewInstitutions
256,57156,Commercial,2001-03-19,NewInstitutions
257,57121,Commercial,2001-03-22,NewInstitutions
258,57079,Commercial,2001-03-23,NewInstitutions
259,57029,Commercial,2001-03-26,NewInstitutions
260,57133,Commercial,2001-04-02,NewInstitutions
261,57093,Savings,2001-04-06,NewInstitutions
262,57053,Commercial,2001-04-12,NewInstitutions
263,57020,Savings,2001-04-12,NewInstitutions
264,57089,Savings,2001-04-16,NewInstitutions
265,57144,Commercial,2001-04-20,NewInstitutions
266,57131,Commercial,2001-04-27,NewInstitutions
267,57152,Commercial,2001-04-30,NewInstitutions
268,57137,Commercial,2001-04-30,NewInstitutions
269,57090,Commercial,2001-04-30,NewInstitutions
270,57146,Commercial,2001-05-01,NewInstitutions
271,57127,Commercial,2001-05-01,NewInstitutions
272,35479,Commercial,2001-05-01,NewInstitutions
273,35532,Commercial,2001-05-01,NewInstitutions
274,57119,Commercial,2001-05-01,NewInstitutions
275,35440,Commercial,2001-05-02,NewInstitutions
276,35434,Commercial,2001-05-03,NewInstitutions
277,57141,Commercial,2001-05-07,NewInstitutions
278,57113,Commercial,2001-05-14,NewInstitutions
279,57086,Commercial,2001-05-14,NewInstitutions
280,57074,Commercial,2001-05-17,NewInstitutions
281,57248,Commercial,2001-05-17,NewInstitutions
282,57193,Commercial,2001-05-17,NewInstitutions
283,57107,Commercial,2001-05-22,NewInstitutions
284,57157,Commercial,2001-05-22,NewInstitutions
285,35331,Commercial,2001-05-23,NewInstitutions
286,57203,Commercial,2001-05-23,NewInstitutions
287,57130,Commercial,2001-05-30,NewInstitutions
288,57098,Commercial,2001-06-01,NewInstitutions
289,57109,Savings,2001-06-01,NewInstitutions
290,57202,Commercial,2001-06-18,NewInstitutions
291,57162,Commercial,2001-06-20,NewInstitutions
292,57172,Commercial,2001-06-27,NewInstitutions
293,57122,Commercial,2001-07-02,NewInstitutions
294,57212,Commercial,2001-07-02,NewInstitutions
295,57135,Commercial,2001-07-02,NewInstitutions
296,57169,Commercial,2001-07-09,NewInstitutions
297,35437,Commercial,2001-07-09,NewInstitutions
298,57197,Commercial,2001-07-09,NewInstitutions
299,57101,Commercial,2001-07-12,NewInstitutions
300,57129,Savings,2001-07-16,NewInstitutions
301,57183,Commercial,2001-07-16,NewInstitutions
302,57168,Commercial,2001-07-16,NewInstitutions
303,57114,Commercial,2001-07-16,NewInstitutions
304,57028,Commercial,2001-07-17,NewInstitutions
305,57163,Commercial,2001-07-19,NewInstitutions
306,57184,Commercial,2001-07-23,NewInstitutions
307,57222,Savings,2001-07-25,NewInstitutions
308,57294,Savings,2001-07-27,NewInstitutions
309,57174,Commercial,2001-08-06,NewInstitutions
310,57149,Commercial,2001-08-06,NewInstitutions
311,57102,Commercial,2001-08-07,NewInstitutions
312,35542,Commercial,2001-08-09,NewInstitutions
313,57158,Commercial,2001-08-13,NewInstitutions
314,35054,Savings,2001-08-22,NewInstitutions
315,57124,Commercial,2001-08-28,NewInstitutions
316,57298,Commercial,2001-09-04,NewInstitutions
317,57147,Commercial,2001-09-04,NewInstitutions
318,57095,Commercial,2001-09-04,NewInstitutions
319,57210,Commercial,2001-09-04,NewInstitutions
320,57059,Commercial,2001-09-10,NewInstitutions
321,57083,Commercial,2001-09-14,NewInstitutions
